id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,b1_PDI_rate,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-342,Female,23,0,0,,High School,0,1.0,0.0,4,1.0,250,30,216,780.93,14,2510.0,780.93,0,13.9,386,44,Specialist,Sales,Sao Paulo,0.65,5,5.29,5,6,5,5,4,5,3,5,4,3,5,5,5,5,5,5,4,5,5,4,4,3,5,4,5,4,4,5,4,4,4,3,4,5,5,Dissatisfaction,5.0,1
EMP-343,Male,47,1,0,26.0,No Degree,0,7.8,0.0,6,1.0,250,30,214,280.34,91,4290.0,1364.43,0,9.39,514,25,Assistant,Operations,Sao Paulo,0.88,6,6.69,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,Stress,5.0,1
EMP-344,Female,35,5,5,12.0,Master,0,8.2,0.0,6,1.0,250,30,214,935.78,66,5170.0,506.42,0,12.61,625,-64,Manager,HR,Rio de Janeiro,0.64,6,6.62,5,6,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,None,,0
EMP-345,Male,47,1,1,23.0,High School,0,3.4,0.0,6,1.0,250,30,214,411.17,31,3090.0,411.17,0,9.84,455,-15,Director,HR,Sao Paulo,0.97,6,6.71,5,7,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-346,Male,43,3,2,23.0,High School,0,2.5,0.0,6,0.5,125,15,104,193.12,58,1795.0,193.12,0,10.26,451,126,Manager,Operations,Curitiba,0.9,5,5.68,5,6,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,3,4,5,Dissatisfaction,4.0,1
EMP-347,Female,36,2,1,13.0,Master,0,7.9,0.0,6,1.0,250,30,214,293.88,105,5960.0,3266.84,0,11.66,432,25,Analyst,Legal,Rio de Janeiro,0.92,5,5.32,5,4,5,5,4,5,4,4,4,4,4,5,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,3,2,4,5,5,4,4,Retirement,3.0,1
EMP-348,Female,37,0,0,,Bachelor,0,7.7,0.0,5,1.0,250,30,215,0.0,10,3370.0,0.0,0,8.71,155,-38,Specialist,Sales,Rio de Janeiro,0.59,8,8.43,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-349,Female,29,3,2,9.0,Bachelor,0,6.2,0.0,3,0.75,187,22,162,242.56,64,3277.5,1072.0,0,7.01,573,48,Specialist,Finance,Sao Paulo,0.64,7,7.61,5,8,5,5,5,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,None,,0
EMP-350,Male,45,2,2,15.0,Bachelor,0,27.2,0.0,7,1.0,250,30,213,667.16,88,5010.0,1657.51,0,9.34,571,-5,Analyst,Sales,Belo Horizonte,0.87,6,7.33,5,8,5,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-351,Female,37,1,1,5.0,Bachelor,0,9.9,0.0,3,1.0,250,30,217,365.67,117,5510.0,1346.04,0,12.33,563,75,Intern,Legal,Rio de Janeiro,0.91,6,6.37,5,7,5,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,4,5,5,5,5,4,None,,0
EMP-352,Female,26,1,1,6.0,High School,0,6.4,0.0,4,1.0,250,30,216,135.63,49,3240.0,135.63,0,13.73,573,-88,Assistant,Sales,Sao Paulo,0.79,8,8.52,5,9,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-353,Male,30,2,1,4.0,Bachelor,0,6.7,0.0,8,1.0,250,30,212,1028.0,64,4380.0,1226.34,0,11.91,494,-60,Specialist,HR,Belo Horizonte,0.44,7,7.91,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,None,,0
EMP-354,Male,45,3,2,9.0,Bachelor,0,21.1,0.0,6,0.75,187,22,159,80.72,35,2962.5,80.72,0,7.55,526,63,Specialist,IT,Sao Paulo,0.75,5,5.97,5,6,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,Better Offer,5.0,1
EMP-355,Female,18,0,0,,High School,0,10.3,0.0,5,0.5,125,15,105,0.0,0,1090.0,0.0,0,10.51,523,40,Manager,Legal,Sao Paulo,0.78,7,7.91,4,6,5,5,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,Dissatisfaction,5.0,1
EMP-356,Male,40,1,0,12.0,Master,0,13.4,0.0,10,1.0,250,30,210,351.48,81,5520.0,1981.06,0,9.95,447,-20,Specialist,Finance,Sao Paulo,0.57,7,7.15,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-357,Male,37,3,1,7.0,No Degree,0,0.9,0.0,3,1.0,250,30,217,144.76,170,5770.0,706.76,0,10.39,546,55,Manager,Marketing,Sao Paulo,0.48,9,9.05,5,7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-358,Female,24,0,0,,Bachelor,0,17.0,0.0,6,1.0,250,30,214,343.62,72,4480.0,1921.86,0,10.45,552,-24,Analyst,Marketing,Sao Paulo,0.52,7,7.47,5,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-359,Female,47,1,1,20.0,High School,0,2.9,0.0,6,1.0,250,30,214,0.0,3,2530.0,0.0,0,7.46,531,44,Specialist,Legal,Belo Horizonte,0.78,5,5.26,5,7,5,5,4,5,5,5,4,5,5,4,5,3,4,4,5,5,5,5,5,4,5,4,4,5,4,5,5,4,5,4,4,4,2,Stress,4.0,1
EMP-360,Female,49,2,2,24.0,High School,0,18.5,0.0,4,0.5,125,15,106,150.63,49,1735.0,150.63,0,7.94,614,87,Analyst,Sales,Sao Paulo,1.0,7,8.28,5,10,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,None,,0
EMP-361,Female,35,1,1,8.0,Master,0,19.0,0.0,7,1.0,250,30,213,396.66,84,5530.0,2055.54,0,13.02,375,-17,Manager,Sales,Sao Paulo,0.78,8,8.76,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-362,Male,45,1,0,6.0,Bachelor,0,19.5,0.0,3,1.0,250,30,217,335.88,227,7790.0,3242.88,0,12.51,520,4,Analyst,Sales,Sao Paulo,0.8,3,4.11,4,3,3,4,4,4,4,3,3,5,5,4,4,5,5,4,3,4,4,3,5,4,4,4,4,4,3,5,3,2,4,5,4,3,4,None,,0
EMP-363,Female,32,2,1,7.0,High School,0,4.5,0.0,3,1.0,250,30,217,372.86,50,3320.0,372.86,0,11.76,342,53,Analyst,Legal,Rio de Janeiro,0.76,5,4.7,5,6,5,5,2,5,5,5,4,3,5,4,4,5,5,5,4,4,5,3,5,5,5,5,5,4,3,5,5,5,5,4,5,3,5,Dissatisfaction,3.0,1
EMP-364,Female,39,2,1,12.0,Bachelor,0,7.7,0.0,4,1.0,250,30,216,413.82,27,3730.0,413.82,0,7.42,509,0,Manager,Legal,Sao Paulo,0.9,5,5.82,5,6,4,5,5,5,3,4,3,5,4,5,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,3,5,4,Better Offer,4.0,1
EMP-365,Male,26,3,1,3.0,High School,0,12.5,0.0,10,1.0,250,30,210,343.08,96,4180.0,1514.1,0,12.56,544,-59,Analyst,Marketing,Sao Paulo,0.59,6,7.05,5,7,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,None,,0
EMP-366,Female,39,1,0,19.0,High School,0,5.4,0.0,2,0.75,187,22,163,115.06,50,2542.5,115.06,0,12.35,497,-18,Specialist,IT,Sao Paulo,0.56,6,7.06,4,7,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,Better Offer,5.0,1
EMP-367,Female,39,0,0,,High School,0,4.2,0.0,4,1.0,250,30,216,0.0,0,2390.0,0.0,0,10.63,564,16,Analyst,Finance,Rio de Janeiro,0.59,7,7.1,5,8,5,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,Better Offer,5.0,1
EMP-368,Male,34,0,0,,High School,0,2.5,0.0,9,0.75,187,22,156,85.89,88,3075.0,1153.05,0,11.34,534,36,Specialist,Sales,Rio de Janeiro,0.78,8,8.78,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-369,Male,55,2,0,18.0,Bachelor,0,43.3,0.0,7,1.0,250,30,213,0.0,9,3530.0,0.0,0,12.54,501,20,Analyst,Sales,Remote,0.32,7,7.92,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-370,Female,28,3,2,9.0,High School,0,9.1,0.0,2,1.0,250,30,218,403.97,120,4680.0,1780.54,0,9.1,406,46,Analyst,Operations,Belo Horizonte,0.51,6,7.04,5,7,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,None,,0
EMP-371,Female,42,2,0,8.0,Bachelor,0,7.5,0.0,5,1.0,250,30,215,586.76,55,4320.0,586.76,0,7.57,661,79,Analyst,HR,Sao Paulo,0.87,5,5.97,5,6,3,5,5,4,4,4,5,5,4,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Retirement,4.0,1
EMP-372,Female,33,3,1,7.0,Bachelor,0,10.4,0.0,8,1.0,250,30,212,62.22,16,3450.0,62.22,0,10.49,560,74,Manager,Legal,Curitiba,0.8,7,7.09,5,8,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-373,Female,44,1,0,26.0,Bachelor,0,34.8,0.0,4,1.0,250,30,216,735.94,74,4720.0,1694.29,0,9.71,395,32,Specialist,Legal,Sao Paulo,0.89,6,6.69,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,5,5,3,5,4,5,5,4,4,5,5,5,5,4,5,5,5,Better Offer,4.0,1
EMP-374,Female,31,1,1,8.0,Bachelor,0,15.9,0.0,2,1.0,250,30,218,296.38,38,3870.0,296.38,0,13.38,319,-12,Manager,IT,Curitiba,0.59,7,8.18,5,8,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,None,,0
EMP-375,Female,29,0,0,,High School,0,3.9,0.0,6,1.0,250,30,214,0.0,4,2370.0,0.0,0,7.61,429,85,Manager,Legal,Sao Paulo,0.52,6,6.91,5,5,4,4,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,5,Stress,5.0,1
EMP-376,Male,63,0,0,,High School,0,28.0,0.5734981781073849,11,1.0,250,30,209,66.48,20,3030.0,66.48,0,12.0,585,18,Specialist,HR,Rio de Janeiro,0.63,8,8.3,5,10,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-377,Female,36,0,0,,Bachelor,0,21.0,0.0,5,1.0,250,30,215,285.9,71,4580.0,882.61,0,10.27,523,-63,Analyst,IT,Sao Paulo,0.66,4,4.92,5,2,5,5,3,4,5,5,5,4,4,5,4,4,5,3,2,5,5,5,3,4,4,4,5,4,5,5,5,5,5,5,5,5,4,None,,0
EMP-378,Male,38,1,0,0.0,High School,0,1.9,0.0,3,1.0,250,30,217,197.7,31,3000.0,197.7,0,9.48,544,10,Specialist,Sales,Sao Paulo,0.89,4,4.7,4,2,5,5,5,5,3,4,4,5,5,5,4,4,5,5,5,4,5,3,5,5,4,4,3,5,2,4,4,3,3,4,5,4,5,Better Offer,4.0,1
EMP-379,Female,45,1,1,23.0,PhD,0,15.5,0.0,2,1.0,250,30,218,0.0,0,5450.0,0.0,0,9.37,625,44,Specialist,Sales,Sao Paulo,0.49,8,7.98,5,8,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-380,Male,38,1,1,11.0,Master,0,18.3,0.0,9,0.75,187,22,156,371.54,14,3120.0,371.54,0,8.18,632,19,Analyst,HR,Curitiba,0.81,7,7.45,5,9,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Personal,4.0,1
EMP-381,Male,37,3,2,3.0,High School,0,5.1,0.0,8,1.0,250,30,212,57.44,69,3750.0,694.13,0,8.02,472,-62,Analyst,Legal,Rio de Janeiro,0.87,6,6.76,3,9,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,Dissatisfaction,5.0,1
EMP-382,Female,34,0,0,,Bachelor,0,6.2,0.0,2,1.0,250,30,218,440.81,121,5560.0,3273.48,0,9.08,435,62,Assistant,Operations,Curitiba,0.37,5,5.89,5,6,5,5,3,4,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4,4,5,4,Better Offer,4.0,1
EMP-383,Male,49,3,3,6.0,Bachelor,0,9.3,0.0,5,0.5,125,15,105,0.0,11,1755.0,0.0,0,8.36,465,-44,Specialist,HR,Sao Paulo,0.51,4,4.62,3,3,5,5,3,3,4,3,5,4,5,3,4,4,4,3,4,4,4,4,3,2,4,3,3,4,5,3,3,4,4,4,4,4,4,Dissatisfaction,3.0,1
EMP-384,Female,36,2,1,17.0,High School,0,10.0,0.0,5,1.0,250,30,215,405.2,155,5460.0,2465.86,0,8.08,476,3,Manager,Finance,Sao Paulo,0.84,7,7.23,5,7,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,5,5,Better Offer,5.0,1
EMP-385,Female,47,1,1,22.0,High School,0,31.5,0.0,7,1.0,250,30,213,234.48,63,3730.0,668.01,0,7.64,420,58,Analyst,HR,Rio de Janeiro,0.57,6,7.07,4,8,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-386,Male,32,0,0,,Bachelor,0,6.0,0.0,7,1.0,250,30,213,315.58,33,3780.0,315.58,0,13.7,582,14,Analyst,Sales,Rio de Janeiro,0.75,6,6.52,5,5,5,3,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,None,,0
EMP-387,Female,18,0,0,,Bachelor,0,10.3,0.0,5,1.0,250,30,215,0.0,0,2980.0,0.0,0,7.19,618,-81,Manager,IT,Belo Horizonte,0.88,6,6.86,5,8,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-388,Female,34,2,2,15.0,Bachelor,1,0.6,0.0,7,1.0,250,30,213,186.84,20,3540.0,186.84,0,12.02,556,66,Specialist,IT,Belo Horizonte,0.9,9,8.98,5,9,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-389,Male,36,2,1,16.0,High School,0,2.6,0.0,4,1.0,250,30,216,571.06,94,4240.0,1832.38,0,11.78,447,-45,Specialist,Sales,Rio de Janeiro,0.72,6,6.77,5,6,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,None,,0
EMP-390,Male,37,3,2,18.0,Master,0,2.0,0.0,7,1.0,250,30,213,0.0,11,4090.0,0.0,0,7.2,631,-11,Manager,Marketing,Sao Paulo,0.6,6,6.74,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,Dissatisfaction,4.0,1
EMP-391,Female,40,6,2,11.0,High School,0,7.8,0.0,5,1.0,250,30,215,0.0,10,2600.0,0.0,0,10.15,410,30,Specialist,Operations,Sao Paulo,0.75,7,7.66,5,8,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-392,Female,18,0,0,,Master,1,24.8,0.0,6,1.0,250,30,214,0.0,0,3680.0,0.0,0,11.46,523,34,Manager,Legal,Sao Paulo,0.52,6,6.6,5,6,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,Dissatisfaction,5.0,1
EMP-393,Female,31,0,0,,Master,0,1.2,0.0,5,1.0,250,30,215,261.81,117,6150.0,3074.97,0,10.46,445,-10,Analyst,Legal,Sao Paulo,0.84,7,7.51,5,7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-394,Male,42,1,0,16.0,No Degree,0,4.6,0.0,9,1.0,250,30,211,0.0,8,2580.0,0.0,0,13.5,462,-2,Specialist,IT,Belo Horizonte,0.91,7,7.78,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,None,,0
EMP-395,Female,34,1,1,0.0,Bachelor,0,13.5,0.0,4,1.0,250,30,216,123.73,119,5520.0,1927.91,0,12.27,552,11,Specialist,HR,Sao Paulo,0.77,6,6.22,5,4,5,4,5,4,5,5,4,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,None,,0
EMP-396,Male,21,0,0,,No Degree,0,1.0,0.0,3,1.0,250,30,217,411.36,36,2930.0,411.36,0,10.14,426,83,Manager,Legal,Rio de Janeiro,0.76,6,6.81,5,6,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-397,Male,38,1,0,17.0,High School,0,2.4,0.0,8,1.0,250,30,212,370.82,43,3240.0,370.82,0,8.25,571,55,Director,Operations,Sao Paulo,0.94,7,7.09,5,4,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,None,,0
EMP-398,Female,56,1,0,10.0,High School,0,8.0,0.09854053938539657,17,0.5,125,15,93,181.05,27,1550.0,181.05,0,7.29,629,8,Director,Sales,Remote,0.93,6,6.97,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,Better Offer,5.0,1
EMP-399,Female,46,3,2,6.0,Master,0,8.8,0.0,6,1.0,250,30,214,120.16,59,5140.0,120.16,0,12.34,297,-3,Director,Legal,Sao Paulo,0.64,7,8.02,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-400,Male,48,0,0,,Bachelor,0,6.9,0.0,7,0.75,187,22,158,1105.81,221,5775.0,1769.93,0,11.32,476,-41,Specialist,Operations,Rio de Janeiro,0.89,5,5.89,5,6,5,5,5,5,3,5,4,5,5,4,5,5,5,5,5,4,3,5,5,5,4,5,5,5,3,5,5,5,3,5,5,4,5,None,,0
EMP-401,Male,30,0,0,,Bachelor,0,3.0,0.0,4,1.0,250,30,216,1099.46,144,5980.0,2225.95,0,10.78,540,-1,Assistant,Finance,Curitiba,0.82,5,6.45,5,5,5,4,4,5,4,4,3,5,5,5,5,5,5,5,5,3,3,5,4,5,5,4,5,5,4,4,4,4,5,5,5,4,5,Better Offer,5.0,1
EMP-402,Female,46,0,0,,Bachelor,0,6.3,0.0,3,1.0,250,30,217,1013.32,84,4940.0,1849.71,0,9.75,633,51,Manager,Legal,Remote,0.86,8,7.9,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,None,,0
EMP-403,Male,54,2,1,18.0,High School,1,41.0,0.0,16,1.0,250,30,204,185.08,14,2820.0,185.08,0,13.46,400,0,Specialist,IT,Sao Paulo,0.79,8,8.56,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-404,Male,53,3,1,5.0,Bachelor,0,9.2,0.0,10,1.0,250,30,210,0.0,10,3530.0,0.0,0,7.2,422,32,Analyst,Legal,Sao Paulo,0.57,5,5.19,3,6,5,5,4,4,5,5,4,3,4,4,5,5,5,4,5,5,5,5,5,3,5,5,4,4,5,4,4,5,5,5,4,4,5,Dissatisfaction,3.0,1
EMP-405,Female,31,2,2,8.0,Master,0,15.9,0.0,5,1.0,250,30,215,655.12,114,6090.0,1175.22,0,9.53,518,73,Assistant,Legal,Curitiba,0.86,8,8.61,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-406,Male,58,3,0,37.0,Bachelor,1,12.8,0.4648460527743554,8,1.0,250,30,212,0.0,5,3480.0,0.0,0,7.81,363,64,Manager,HR,Rio de Janeiro,0.57,8,8.6,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-407,Female,49,0,0,,Bachelor,0,3.7,0.0,3,1.0,250,30,217,366.49,41,4110.0,366.49,0,10.48,638,41,Analyst,Marketing,Sao Paulo,0.46,8,8.52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-408,Male,18,0,0,,High School,0,7.5,0.0,8,1.0,250,30,212,0.0,0,2180.0,0.0,0,14.0,479,34,Intern,HR,Sao Paulo,0.76,6,6.81,5,4,4,5,4,2,4,5,4,5,4,5,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,None,,0
EMP-409,Male,33,0,0,,High School,0,6.8,0.0,2,1.0,250,30,218,360.99,119,4710.0,1631.44,0,10.04,488,27,Analyst,Operations,Sao Paulo,0.7,8,8.72,5,8,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-410,Female,50,3,0,20.0,High School,0,18.2,0.0,5,1.0,250,30,215,193.78,123,4960.0,1715.25,0,13.42,569,8,Specialist,Operations,Sao Paulo,0.86,6,6.05,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,3,5,4,5,5,4,5,5,4,3,3,5,5,5,5,4,5,5,4,5,None,,0
EMP-411,Female,37,0,0,,High School,1,9.1,0.0,1,0.75,187,22,164,0.0,0,1777.5,0.0,0,11.86,478,11,Specialist,Legal,Remote,0.6,6,6.82,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-412,Female,18,0,0,,Bachelor,0,7.3,0.0,5,1.0,250,30,215,0.0,0,2980.0,0.0,0,13.2,616,-39,Assistant,Operations,Rio de Janeiro,0.56,5,5.73,5,6,3,5,4,5,3,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,4,3,5,5,5,5,5,3,Better Offer,3.0,1
EMP-413,Female,37,0,0,,Bachelor,0,1.1,0.0,2,1.0,250,30,218,0.0,7,3310.0,0.0,0,7.4,640,43,Analyst,HR,Sao Paulo,0.79,5,5.29,5,2,4,5,5,4,4,5,4,5,4,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,4,4,5,Better Offer,5.0,1
EMP-414,Male,32,2,1,13.0,High School,0,1.1,0.0,5,1.0,250,30,215,966.44,81,3940.0,1554.34,0,13.4,619,1,Analyst,Marketing,Curitiba,0.67,7,8.03,5,8,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-415,Female,38,1,1,14.0,High School,0,5.1,0.0,4,1.0,250,30,216,0.0,5,2480.0,0.0,0,10.26,507,70,Specialist,HR,Remote,0.9,8,8.85,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-416,Male,33,2,2,8.0,High School,0,1.8,0.0,4,0.5,125,15,106,178.17,13,1295.0,178.17,0,7.73,347,7,Manager,Legal,Rio de Janeiro,0.9,6,5.86,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,None,,0
