id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-413,Male,39,1,1,10.0,High School,0,7.8,0.0,5,1.0,250,30,215,377.44,18,2750.0,377.44,0,13.38,530,36,Specialist,Operations,Sao Paulo,6,6.36,5,7,5,4,5,5,5,4,2,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,4,Stress,5.0,1
EMP-414,Female,41,3,2,3.0,Bachelor,0,17.0,0.0,11,1.0,250,30,209,0.0,7,3350.0,0.0,0,12.55,259,64,Manager,Operations,Sao Paulo,8,8.53,5,7,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-415,Male,32,1,1,11.0,High School,0,14.1,0.0,5,1.0,250,30,215,197.63,78,3880.0,1629.99,0,10.7,428,-5,Manager,HR,Rio de Janeiro,6,6.92,5,6,5,5,4,3,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-416,Male,40,4,2,4.0,PhD,1,2.8,0.0,2,1.0,250,30,218,277.84,79,6980.0,4293.63,0,12.4,454,-33,Assistant,HR,Sao Paulo,6,6.66,3,9,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,5,5,3,5,5,5,5,Personal,5.0,1
EMP-417,Female,44,0,0,,Master,0,3.9,0.0,11,0.5,125,15,99,54.93,52,2490.0,54.93,0,7.48,333,2,Specialist,Sales,Rio de Janeiro,7,7.73,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-418,Male,40,0,0,,Bachelor,0,3.7,0.0,4,1.0,250,30,216,632.44,40,4000.0,632.44,0,12.18,464,70,Specialist,Sales,Sao Paulo,5,5.39,5,3,5,5,5,5,3,4,5,4,5,4,4,3,3,4,3,2,5,5,5,4,4,5,4,3,5,5,5,4,5,4,4,4,5,Better Offer,3.0,1
EMP-419,Male,35,2,1,9.0,PhD,0,19.0,0.0,5,0.5,125,15,105,190.51,37,3045.0,190.51,0,9.43,509,-15,Manager,HR,Sao Paulo,8,8.29,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-420,Female,40,1,1,20.0,High School,0,8.7,0.0,5,1.0,250,30,215,0.0,7,2540.0,0.0,0,9.76,370,-36,Director,Legal,Curitiba,6,6.84,5,7,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,None,,0
EMP-421,Female,49,1,0,12.0,Bachelor,0,17.4,0.0,6,1.0,250,30,214,0.0,1,3310.0,0.0,0,12.63,570,52,Analyst,Operations,Belo Horizonte,9,8.96,5,9,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-422,Male,37,1,1,6.0,Master,0,9.1,0.0,6,1.0,250,30,214,118.06,59,5050.0,118.06,0,12.34,297,-3,Director,Legal,Sao Paulo,7,8.02,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-423,Male,40,3,3,8.0,High School,0,12.1,0.0,3,1.0,250,30,217,314.81,19,2780.0,314.81,0,7.31,508,64,Analyst,Operations,Curitiba,4,4.89,4,8,4,4,5,5,3,4,4,4,4,5,4,5,3,4,5,5,5,5,5,3,5,5,5,4,4,4,5,4,5,4,5,5,5,Better Offer,5.0,1
EMP-424,Female,41,3,3,6.0,Master,0,10.4,0.0,2,1.0,250,30,218,835.73,103,5970.0,1699.77,0,13.95,660,116,Analyst,Sales,Remote,8,8.45,5,8,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-425,Female,35,1,1,8.0,Bachelor,0,5.7,0.0,6,1.0,250,30,214,0.0,9,3330.0,0.0,0,11.6,564,-20,Specialist,Sales,Remote,7,7.61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Better Offer,5.0,1
EMP-426,Male,35,0,0,,Master,0,4.7,0.0,3,1.0,250,30,217,89.3,143,6710.0,2554.26,0,8.02,354,75,Analyst,Operations,Sao Paulo,7,7.53,4,8,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Retirement,5.0,1
EMP-427,Female,44,1,0,21.0,PhD,0,4.7,0.0,2,1.0,250,30,218,950.06,18,5800.0,950.06,0,10.94,289,45,Assistant,HR,Remote,5,5.19,5,5,5,3,5,5,5,5,3,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,4,5,5,5,4,5,4,5,4,Retirement,3.0,1
EMP-428,Male,25,0,0,,High School,0,8.8,0.0,5,1.0,250,30,215,190.14,31,2870.0,190.14,0,11.61,438,-30,Specialist,IT,Sao Paulo,8,9.05,5,9,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-429,Male,51,1,0,26.0,Bachelor,0,1.9,0.0,8,0.75,187,22,157,0.0,3,2527.5,0.0,0,11.63,501,-40,Analyst,Sales,Curitiba,8,7.67,5,10,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,Dissatisfaction,5.0,1
EMP-430,Male,31,0,0,,Bachelor,0,11.9,0.0,4,1.0,250,30,216,824.3,137,5850.0,1088.03,0,12.44,544,0,Analyst,Legal,Sao Paulo,4,4.84,5,3,5,4,4,4,4,4,5,4,3,4,5,5,4,4,5,4,4,4,5,4,4,3,4,5,5,5,5,5,5,5,5,3,5,Dissatisfaction,4.0,1
EMP-431,Male,51,2,1,8.0,Master,1,16.8,0.0,9,1.0,250,30,211,392.99,47,4950.0,392.99,0,10.77,523,35,Specialist,Sales,Rio de Janeiro,8,8.63,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-432,Male,39,0,0,,Bachelor,0,7.7,0.0,5,1.0,250,30,215,0.0,2,3230.0,0.0,0,7.5,460,20,Manager,Marketing,Rio de Janeiro,8,8.73,5,7,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-433,Female,35,2,2,10.0,High School,0,1.7,0.0,6,0.5,125,15,104,80.28,72,1895.0,533.4,0,11.86,721,108,Specialist,Operations,Curitiba,4,4.46,3,7,3,5,4,4,3,4,4,3,5,4,5,4,4,3,5,4,4,5,5,5,2,4,3,5,3,5,5,4,5,5,5,5,5,Better Offer,3.0,1
EMP-434,Female,44,2,1,8.0,High School,0,6.4,0.0,6,0.75,187,22,159,384.77,27,2235.0,384.77,0,13.91,654,-13,Analyst,IT,Rio de Janeiro,3,3.61,3,3,3,3,5,3,4,4,3,2,1,5,4,4,4,3,4,4,3,4,3,4,3,5,4,3,4,5,3,4,4,4,4,4,3,Personal,3.0,1
EMP-435,Female,56,0,0,,High School,0,13.1,0.03332090057731784,4,1.0,250,30,216,237.23,20,2960.0,237.23,0,8.31,387,57,Specialist,IT,Rio de Janeiro,7,7.78,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-436,Female,34,4,2,10.0,Master,0,10.9,0.0,3,1.0,250,30,217,0.0,6,3960.0,0.0,0,8.64,509,-88,Manager,HR,Rio de Janeiro,6,6.79,5,9,5,5,5,5,5,4,4,5,4,3,4,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-437,Female,27,1,0,8.0,High School,0,6.6,0.0,7,1.0,250,30,213,310.37,22,2710.0,310.37,0,10.5,523,10,Analyst,Sales,Remote,8,7.97,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,None,,0
EMP-438,Female,29,0,0,,High School,0,2.5,0.0,6,1.0,250,30,214,371.47,20,2690.0,371.47,0,8.72,322,19,Specialist,Marketing,Rio de Janeiro,6,6.16,4,6,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,4.0,1
EMP-439,Male,40,0,0,,Bachelor,0,2.6,0.0,10,1.0,250,30,210,524.04,19,3580.0,524.04,0,7.7,419,127,Specialist,HR,Belo Horizonte,2,2.85,2,3,4,1,2,5,5,4,4,1,3,3,3,3,4,3,3,4,2,3,3,3,3,3,3,3,4,3,4,2,3,3,3,4,3,Dissatisfaction,2.0,1
EMP-440,Female,28,1,1,7.0,High School,0,1.3,0.0,4,1.0,250,30,216,391.25,37,3020.0,391.25,0,9.76,515,96,Assistant,Legal,Sao Paulo,6,6.96,4,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-441,Male,26,1,1,1.0,High School,0,48.0,0.0,7,0.75,187,22,158,52.12,96,3135.0,478.43,0,12.5,450,12,Specialist,IT,Rio de Janeiro,9,8.94,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-442,Female,38,1,0,15.0,High School,0,12.4,0.0,7,1.0,250,30,213,0.0,9,2560.0,0.0,0,11.11,517,81,Manager,Legal,Rio de Janeiro,7,7.35,5,8,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,None,,0
EMP-443,Male,44,6,3,25.0,Bachelor,0,6.7,0.0,6,0.75,187,22,159,37.45,20,2730.0,37.45,0,9.65,364,-16,Analyst,Legal,Sao Paulo,9,8.93,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-444,Male,20,0,0,,Master,0,10.7,0.0,3,0.5,125,15,107,57.14,24,2090.0,57.14,0,9.35,641,43,Analyst,Sales,Rio de Janeiro,3,3.87,4,3,4,5,5,4,5,4,4,4,5,4,5,3,4,3,4,4,5,3,3,3,5,3,4,4,5,4,5,5,4,4,5,3,4,Better Offer,1.0,1
EMP-445,Male,26,3,2,2.0,Bachelor,0,33.0,0.0,6,1.0,250,30,214,183.47,24,3540.0,183.47,0,10.48,454,97,Analyst,Legal,Curitiba,7,7.22,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-446,Female,26,4,4,3.0,High School,0,5.0,0.0,7,1.0,250,30,213,522.7,96,4180.0,1426.12,0,9.68,561,31,Intern,IT,Rio de Janeiro,6,6.3,5,5,3,4,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,None,,0
EMP-447,Male,24,0,0,,Master,0,0.8,0.0,5,0.5,125,15,105,0.0,8,1950.0,0.0,0,12.17,394,24,Analyst,HR,Rio de Janeiro,7,7.58,5,10,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,None,,0
EMP-448,Female,37,2,2,14.0,Bachelor,0,2.7,0.0,6,0.75,187,22,159,509.65,56,3217.5,509.65,0,13.07,427,58,Specialist,HR,Sao Paulo,7,8.19,5,8,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,Personal,5.0,1
EMP-449,Male,46,1,1,24.0,High School,0,13.6,0.0,4,1.0,250,30,216,349.78,15,2760.0,349.78,0,7.08,575,0,Specialist,Operations,Sao Paulo,7,7.67,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-450,Female,49,1,0,26.0,Bachelor,0,20.9,0.0,1,1.0,250,30,219,274.57,23,3750.0,274.57,0,11.48,584,-18,Specialist,IT,Sao Paulo,4,4.47,3,8,4,4,5,4,5,3,3,5,5,5,4,3,4,4,4,4,5,3,5,4,5,5,5,3,4,4,4,4,5,4,5,4,5,Better Offer,3.0,1
EMP-451,Female,29,1,1,0.0,No Degree,0,4.6,0.0,6,1.0,250,30,214,155.41,60,3490.0,155.41,0,8.58,677,-17,Analyst,Legal,Rio de Janeiro,7,7.18,5,8,4,5,5,5,4,4,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-452,Female,43,2,0,6.0,High School,0,21.1,0.0,3,1.0,250,30,217,585.94,162,5670.0,1737.16,0,12.59,378,76,Specialist,HR,Rio de Janeiro,7,7.85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-453,Female,18,0,0,,High School,0,67.1,0.0,5,1.0,250,30,215,0.0,0,2180.0,0.0,0,11.31,394,18,Director,Marketing,Sao Paulo,9,9.02,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-454,Female,38,0,0,,High School,0,10.6,0.0,5,1.0,250,30,215,0.0,0,2380.0,0.0,0,10.21,496,57,Analyst,Operations,Rio de Janeiro,6,6.7,5,6,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,Better Offer,5.0,1
EMP-455,Female,20,0,0,,PhD,0,1.5,0.0,5,1.0,250,30,215,372.03,24,5680.0,372.03,0,8.75,482,47,Director,Sales,Curitiba,7,7.32,5,5,5,4,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,Better Offer,5.0,1
EMP-456,Male,34,2,1,14.0,Bachelor,0,15.6,0.0,5,1.0,250,30,215,331.66,51,4160.0,331.66,0,9.64,478,41,Specialist,Legal,Belo Horizonte,7,8.08,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-457,Male,33,2,1,7.0,No Degree,0,7.3,0.0,7,1.0,250,30,213,504.25,56,3450.0,504.25,0,10.08,388,35,Manager,Marketing,Sao Paulo,7,8.16,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-458,Male,38,1,1,20.0,Bachelor,0,20.2,0.0,4,1.0,250,30,216,0.0,2,3220.0,0.0,0,7.42,590,-5,Manager,Sales,Sao Paulo,7,7.62,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-459,Male,27,1,1,7.0,Bachelor,0,6.5,0.0,12,1.0,250,30,208,163.01,41,3890.0,163.01,0,12.45,373,50,Manager,HR,Curitiba,8,8.6,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-460,Female,48,2,2,11.0,No Degree,0,12.1,0.0,2,1.0,250,30,218,81.66,108,4640.0,2269.66,0,7.83,394,58,Specialist,HR,Sao Paulo,5,5.47,4,3,5,5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,None,,0
EMP-461,Male,33,3,1,4.0,No Degree,0,29.2,0.0,8,1.0,250,30,212,466.77,108,4490.0,1014.07,0,11.08,603,27,Intern,Marketing,Belo Horizonte,5,5.23,5,2,4,3,5,5,4,5,5,4,5,4,5,5,5,5,3,5,5,3,5,5,4,4,5,5,5,4,4,5,4,4,5,5,5,Better Offer,3.0,1
EMP-462,Male,43,3,0,13.0,Master,0,5.1,0.0,7,1.0,250,30,213,0.0,4,4010.0,0.0,0,8.87,314,46,Specialist,Finance,Remote,5,5.77,4,6,5,5,5,5,4,5,5,4,5,4,5,3,5,4,3,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,None,,0
EMP-463,Female,27,4,4,5.0,Master,0,1.2,0.0,3,1.0,250,30,217,268.2,33,4430.0,268.2,0,13.68,546,3,Analyst,Finance,Rio de Janeiro,6,6.5,4,3,5,5,5,4,5,5,4,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,Better Offer,5.0,1
EMP-464,Male,39,2,1,3.0,Master,0,10.3,0.0,4,0.5,125,15,106,0.0,6,2005.0,0.0,0,11.68,654,112,Analyst,Marketing,Sao Paulo,6,6.33,5,9,5,3,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,Better Offer,5.0,1
EMP-465,Male,38,3,2,13.0,High School,0,2.3,0.0,3,1.0,250,30,217,601.74,75,3880.0,1894.81,0,11.65,662,-15,Analyst,Operations,Belo Horizonte,7,6.76,5,7,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Dissatisfaction,4.0,1
EMP-466,Male,25,0,0,,Bachelor,0,5.7,0.0,11,1.0,250,30,209,252.89,14,3330.0,252.89,0,12.87,519,57,Manager,Operations,Sao Paulo,8,8.11,5,7,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-467,Other,39,1,0,2.0,Bachelor,0,11.4,0.0,3,1.0,250,30,217,465.64,28,3750.0,465.64,0,13.64,517,58,Specialist,Operations,Rio de Janeiro,3,3.65,4,1,5,3,4,4,3,5,4,5,4,4,3,3,4,4,4,4,3,3,5,2,4,4,5,4,3,3,3,4,2,4,3,4,4,Stress,2.0,1
EMP-468,Male,25,0,0,,High School,0,7.0,0.0,5,1.0,250,30,215,89.21,84,3930.0,1319.61,0,10.8,538,17,Analyst,Marketing,Remote,7,7.65,5,6,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,None,,0
EMP-469,Male,38,2,1,15.0,Master,0,21.5,0.0,3,1.0,250,30,217,596.05,45,4780.0,596.05,0,9.84,528,-39,Analyst,IT,Belo Horizonte,7,7.29,5,10,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Stress,5.0,1
EMP-470,Female,47,3,2,22.0,High School,0,6.0,0.0,3,1.0,250,30,217,186.66,44,3350.0,186.66,0,9.2,410,56,Analyst,Marketing,Belo Horizonte,6,6.29,4,7,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,3,5,5,5,4,5,4,4,5,5,5,Better Offer,3.0,1
EMP-471,Male,29,1,1,1.0,High School,0,8.2,0.0,0,1.0,250,30,220,287.95,17,2630.0,287.95,1,7.52,658,-9,Manager,Operations,Sao Paulo,5,5.89,5,8,4,4,4,4,5,5,4,3,5,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,3,5,5,5,Dissatisfaction,5.0,1
EMP-472,Female,18,0,0,,Bachelor,0,1.6,0.0,3,1.0,250,30,217,0.0,0,2980.0,0.0,0,8.55,721,32,Assistant,Operations,Rio de Janeiro,7,7.96,5,6,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-473,Female,37,1,1,8.0,PhD,0,5.7,0.0,5,1.0,250,30,215,871.25,14,5650.0,871.25,0,7.55,458,-46,Specialist,Finance,Rio de Janeiro,4,4.77,4,1,4,5,4,4,4,5,4,4,4,5,5,5,3,5,5,4,5,4,4,4,4,4,5,3,5,5,5,5,5,4,3,4,4,Dissatisfaction,2.0,1
EMP-474,Male,44,1,0,10.0,Bachelor,0,16.1,0.0,2,0.75,187,22,163,455.85,120,4230.0,2622.73,0,13.46,644,-13,Specialist,IT,Sao Paulo,5,5.81,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,5,5,Dissatisfaction,2.0,1
EMP-475,Female,45,2,0,27.0,Bachelor,0,4.0,0.0,4,1.0,250,30,216,82.66,41,4070.0,82.66,0,8.59,452,133,Manager,Finance,Belo Horizonte,7,7.27,5,6,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,None,,0
EMP-476,Female,30,1,0,10.0,Bachelor,0,3.6,0.0,5,1.0,250,30,215,25.8,25,3600.0,25.8,0,7.16,493,-56,Specialist,Operations,Rio de Janeiro,6,6.55,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-477,Female,40,3,3,20.0,High School,0,0.3,0.0,4,1.0,250,30,216,133.06,37,3140.0,133.06,0,7.89,363,-44,Director,Operations,Remote,5,4.95,3,6,4,4,4,5,5,5,5,4,4,4,4,3,5,5,4,4,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,4,Better Offer,4.0,1
EMP-478,Male,50,1,0,5.0,Bachelor,0,59.0,0.0,4,0.5,125,15,106,358.9,79,2440.0,664.09,0,12.89,514,27,Specialist,Operations,Rio de Janeiro,3,3.73,4,2,4,4,4,3,2,5,4,4,5,4,4,3,2,4,4,5,3,3,3,4,2,4,4,4,3,5,3,5,4,4,5,2,5,Personal,3.0,1
EMP-479,Male,33,1,1,10.0,High School,0,17.3,0.0,3,1.0,250,30,217,0.0,1,2350.0,0.0,0,8.71,359,62,Analyst,HR,Sao Paulo,5,5.41,2,6,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,3,5,5,4,5,4,4,4,4,5,4,Dissatisfaction,3.0,1
EMP-480,Male,19,0,0,,High School,0,3.2,0.0,5,1.0,250,30,215,0.0,12,2430.0,0.0,0,13.94,419,-79,Analyst,Operations,Rio de Janeiro,7,7.33,4,9,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Stress,5.0,1
EMP-481,Male,43,3,2,8.0,Bachelor,0,36.2,0.0,3,1.0,250,30,217,98.07,161,6450.0,2877.1,0,10.21,473,60,Specialist,HR,Rio de Janeiro,8,8.46,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-482,Female,35,1,0,9.0,Master,0,8.9,0.0,3,1.0,250,30,217,149.01,60,5050.0,149.01,0,10.45,425,66,Manager,Operations,Remote,5,5.96,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,4,5,5,4,5,5,Dissatisfaction,5.0,1
EMP-483,Female,36,1,1,6.0,Bachelor,0,46.5,0.0,10,1.0,250,30,210,313.48,34,3840.0,313.48,0,9.25,511,-43,Analyst,Sales,Rio de Janeiro,5,5.8,4,5,5,5,5,4,5,4,5,5,4,4,5,5,4,4,3,4,5,5,4,5,4,5,5,5,5,4,3,4,4,5,5,5,4,Better Offer,4.0,1
EMP-484,Male,33,1,0,10.0,High School,0,0.7,0.0,8,1.0,250,30,212,0.0,2,2370.0,0.0,0,11.58,445,23,Assistant,Sales,Belo Horizonte,6,7.02,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,Better Offer,5.0,1
EMP-485,Male,58,4,1,1.0,Bachelor,0,7.0,0.23770171545142452,4,1.0,250,30,216,0.0,5,3480.0,0.0,0,8.64,622,-8,Analyst,Legal,Remote,7,7.11,5,6,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Dissatisfaction,5.0,1
EMP-486,Female,35,2,1,15.0,High School,0,7.1,0.0,2,1.0,250,30,218,0.0,11,2570.0,0.0,0,12.59,438,-20,Assistant,IT,Sao Paulo,7,7.36,5,10,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,None,,0
EMP-487,Female,26,1,1,8.0,Master,0,53.3,0.0,10,1.0,250,30,210,368.55,96,5680.0,1177.47,0,10.56,349,43,Specialist,Marketing,Rio de Janeiro,6,6.64,4,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,Better Offer,5.0,1
EMP-488,Male,32,0,0,,High School,0,16.6,0.0,6,1.0,250,30,214,240.79,35,3020.0,240.79,0,8.02,540,-3,Assistant,IT,Rio de Janeiro,7,7.04,5,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,None,,0
